x,y,token
-24.846714,33.117065,покой
28.794933,0.35538635,зато
9.4886,49.814255,власть
17.575895,-9.239729,сначала
-18.108522,59.123833,витязь
-9.017926,-49.2741,зуб
20.783674,-13.467727,вспомнить
-56.008125,4.8481903,тракт
52.898136,25.114132,работа
-13.199113,4.4076,пропасть
-28.098167,-12.107924,позади
-29.565096,-45.320454,тишина
-5.089932,-47.615105,упасть
-0.57982,40.46966,поход
-16.386908,-51.139137,вскочить
-8.66736,29.654675,кровь
17.732359,-11.8672905,ясно
-54.384094,-10.705129,густой
-31.75954,20.720804,бой
-52.733025,-24.346924,луч
0.49594772,7.4689884,двадцать
20.809607,-50.400723,кресло
30.64835,-9.367572,вон
40.990623,10.181741,настоящий
2.7102613,-59.173183,клинок
14.294708,14.439093,прочий
28.693375,-8.608872,объяснить
9.314244,35.030575,молвить
3.202909,47.013107,гибель
-49.3148,-32.749367,мгла
-35.45895,27.870749,воинство
-3.3100083,-11.737054,мимо
10.345994,47.27268,желать
33.706913,-11.018814,нечего
32.886147,-13.740896,показать
-8.772098,51.653202,смертный
-6.0910044,2.0139785,двигаться
-7.247545,29.144285,чей
-2.247132,33.987267,дух
-28.733149,-25.48062,волос
-54.06,-6.275533,тянуться
-9.949671,13.002024,сарумана
-15.758771,50.047012,галадриэль
35.69479,-22.800146,обратно
-19.853622,59.579758,князь
19.844774,47.43809,опасность
-33.18704,58.313656,берена
-0.73159504,9.392676,семь
55.9456,2.011011,внимание
46.135296,29.936695,малый
-14.906961,5.024699,двинуться
7.5207396,-2.671226,утром
70.87758,-7.1419415,зафод
-43.653206,-28.902657,дождь
-43.27572,-37.832848,огненный
14.299117,-32.687923,выходить
57.65565,14.05632,инспектор
-48.8006,-38.957756,бледный
14.569406,2.2633834,потерять
-50.465435,18.561329,мглистый
-4.6852665,-11.616754,улица
-16.368628,-4.6207733,становиться
-2.140352,-13.755707,пустой
-17.08059,31.52035,бродить
-0.27317905,-20.89049,тихий
24.108673,-6.911099,устать
-33.124302,18.322914,конник
4.820929,40.278477,умереть
21.347435,25.700891,беда
-23.022116,-6.8360586,кругом
34.37881,1.0175595,ум
-0.17290266,-32.60399,мгновение
31.47604,14.321456,рассказ
-29.517935,-3.6466572,глубина
10.355178,-46.41151,выглядеть
-32.759396,30.077145,пасть
-1.2156423,-6.294662,небольшой
-14.309306,38.630352,поздний
26.16585,9.567136,здешний
1.2906014,37.39502,столь
-20.530468,-47.76476,замереть
-21.053661,60.407677,исилдура
-5.6540966,-0.2106081,три
-28.125666,57.167355,нолдор
1.2574368,35.833286,сгинуть
-23.23401,-49.037758,слышный
-6.1203847,31.154364,слух
24.977255,4.6888137,ходить
-5.285481,41.463154,сокровище
31.440222,14.172008,история
39.42655,-13.945994,спасибо
5.0220866,24.958687,спешить
0.35890174,-47.637146,губа
-51.26252,-21.473185,сиять
-51.16983,-26.36328,солнечный
19.130775,15.221154,старик
5.2275705,51.081543,победа
-24.606024,57.58714,род
-21.22272,60.533794,элендил
-25.042791,9.392296,тварь
-51.99011,-25.584707,высоко
60.518208,14.515396,руфь
-27.181059,28.05983,ристанийский
16.607756,4.2425094,отыскать
-3.0510197,-58.626476,правый
-9.478298,53.935158,эльдар
-14.354956,43.908024,часто
-18.420563,7.774917,одолеть
23.256628,-12.961532,добавить
-13.85663,-39.378483,проход
55.18233,-0.43959954,произнести
-14.233704,-2.356036,она
-30.01132,-27.268143,золото
-0.26570964,-56.92156,надеть
16.715841,22.888933,знак
16.309559,-20.32667,рассмеяться
-51.300655,1.3813883,спускаться
-30.580853,21.620632,стража
37.03191,42.993164,единственный
12.048779,16.483614,домой
2.6869547,25.842318,встретить
30.834103,-7.3559995,видать
21.492527,22.57206,б
57.96717,30.215881,возможно
12.039674,28.831974,прощать
48.62921,-13.413285,торба
32.159317,-36.565517,проснуться
-23.463682,40.9544,некогда
23.441118,-5.514757,хватать
-2.2445347,26.217422,настать
-35.332172,49.512417,название
-32.961353,-19.454094,цвет
23.961966,45.42052,сомнение
25.493093,-6.045163,сперва
55.85399,12.02489,крофт
22.6428,17.350578,подтвердить
-53.337265,-11.708346,виднеться
30.32875,-42.390438,пить
-35.154083,17.52782,дружина
-36.06832,-28.656586,сверкать
6.043589,10.796558,кончиться
4.314134,-52.71169,протянуть
12.064882,50.74549,зло
-40.38348,-17.2229,ветвь
-7.5371246,42.674908,многое
48.49854,-0.3698444,улыбнуться
71.754196,-4.392398,планета
1.5117506,35.176918,покуда
31.562792,-41.660843,еда
-56.01896,-1.6847799,выше
31.577305,-35.952076,спасть
59.8418,17.165823,нил
-13.68211,29.174313,начаться
3.0613332,-30.257727,изумление
-39.661633,-11.6305685,корень
-15.298867,32.272377,множество
31.806583,-20.902046,попробовать
60.826435,2.455975,совершенно
45.903038,21.130732,простой
-18.569195,22.33258,удар
29.169514,-21.46736,скорый
-16.195402,25.176249,гнев
-31.533987,-29.33551,шлем
26.01661,6.2781577,разный
2.281116,8.002071,сто
-26.033602,57.19457,жена
2.8290348,-53.374187,грудь
18.220097,-46.84834,поставить
34.436886,4.765682,неужели
-47.465103,-14.171846,видный
-11.806579,21.959839,тяжкий
46.94742,-4.928907,порядок
-2.8224514,-18.08765,звучать
39.87404,4.129831,разговаривать
-3.0539691,-58.632526,левый
10.004848,25.548302,раздол
21.40265,-9.504764,взяться
32.121014,-33.63755,пробормотать
-28.930662,1.7257247,обратить
7.6726484,2.867916,выбраться
-18.970873,37.26021,граница
30.695484,-3.117369,коли
-29.105772,50.738186,тинголый
-54.9434,-4.3608413,утёс
6.515404,9.155363,следить
-7.4086056,-24.140799,чистый
-13.16009,-36.732655,побежать
-37.380043,-35.126163,громадный
-11.998248,-26.316544,жёлтый
24.032297,-41.548794,пара
-15.166008,-53.670677,миг
-31.32538,-29.80832,щит
-53.080254,8.647176,вдоль
8.417051,-54.564243,снять
-51.233776,-29.671047,сумрак
-29.389612,52.195847,вождь
-33.19408,58.35851,лютиэн
44.34517,12.534144,молодой
6.957225,34.42911,встретиться
-8.593771,57.045498,илуватар
36.72694,-0.7749978,простить
30.704578,-0.63710743,вряд
-18.072426,-9.418803,открытый
-27.977596,9.784062,назгул
-37.77655,44.537067,белерианда
7.035409,-42.238647,верёвка
35.96344,-2.066663,понадобиться
-23.809235,41.67876,называться
10.273522,10.44524,найтись
5.7047896,-57.619545,кольчуга
-14.114463,19.256266,мрачный
-29.447756,-5.3971577,скрыться
29.902935,39.032707,обнаружить
15.097279,19.258772,сей
-7.428083,-16.2688,зал
-24.183985,-42.880478,еле
-23.93079,7.4441895,дикий
-40.1244,43.40365,сирион
13.524226,-19.941475,улыбка
-15.986484,-47.02087,дыхание
46.88007,10.810004,мирный
-46.847946,-20.693792,серебристый
0.74973583,8.167835,десять
-49.960293,-8.927191,поток
61.061764,9.543838,гейгера
-36.09715,-11.870351,сад
-26.83267,8.107533,призрак
37.500515,15.139313,позволить
9.567725,4.779035,дойти
48.971542,-17.735552,пригорье
5.8109636,60.245975,тайный
-25.645569,46.8847,ведать
-31.740803,-47.31835,шум
-1.6423458,-22.728003,весёлый
-10.158535,-17.211435,нести
-26.846626,-26.821774,темно
19.003075,43.55085,спасти
-6.1290984,34.297077,приходить
8.632231,29.321041,берегонд
2.0441515,19.393257,мертвец
8.043189,-12.363717,стараться
-38.61802,-4.240188,волна
17.794762,-18.913677,позвать
-20.130396,35.766136,лихолесья
-24.132694,0.68891424,отступить
20.124865,-16.004416,повторить
28.968147,14.518608,объявить
56.95347,4.1870537,мужчина
-14.190355,25.91129,неведомый
-10.0793085,56.86218,манвэ
-2.914544,-20.56166,смех
35.462856,-35.642376,завтра
-22.424307,-44.90948,факел
-21.606527,35.45586,страна
61.227947,9.619246,эдди
-14.050488,-50.51868,пина
-12.204295,7.063165,навстречу
-0.18202129,-34.31875,почувствовать
12.222358,50.534904,тайна
36.886333,32.01133,важный
-2.328113,50.917477,владение
-25.0115,9.722055,зверь
4.9132657,-25.529648,слеза
29.699785,6.5473185,уметь
-18.209448,61.025196,наместник
17.134016,7.513517,заговорить
-48.151527,-23.751226,мерцать
-32.110962,24.944181,собрать
-23.828907,-37.312714,приближаться
-29.004028,19.050592,светозар
-10.75721,6.3820286,повести
51.24496,18.996565,деньга
-24.014801,-45.593864,сверху
-26.245094,56.210567,дочь
-2.4219856,-49.99534,боль
41.04875,4.98276,особенно
-36.424046,-38.611816,падать
-46.732197,-35.44664,багровый
-21.590588,51.035408,древо
-28.424437,-54.01669,вопль
25.797695,1.1640629,столько
-37.392456,-15.757822,свежий
7.7773967,-12.150676,довольно
13.428131,-48.088406,висеть
-11.1601925,35.43932,давный
38.22755,40.53833,образ
8.3064575,-13.538304,держаться
54.888905,12.594505,кивнуть
-35.793465,25.173628,захватить
11.092701,-14.860839,знакомый
27.519352,23.927504,обещать
4.6531553,-17.062449,трое
4.772956,-20.006407,вслед
30.752035,-19.616405,подождать
38.13405,0.4114157,новость
4.8273168,9.18444,лишний
0.50107884,10.665969,неделя
-31.797623,-8.494387,сумерки
-10.149755,40.075977,носить
12.8094,-17.984352,спокойный
-26.889881,-20.964668,суровый
-27.300539,35.41227,трон
25.198662,-3.7611625,главное
-32.395493,48.475044,зваться
31.96954,36.041492,чувство
-0.41326526,-54.296562,шея
-27.542145,-3.9949987,неподалёку
-30.633532,-30.69735,копьё
-38.13094,-17.219975,листва
30.855726,15.753609,путешествие
-13.785809,-28.531326,угол
-24.935627,-3.5314837,толпа
9.684495,-60.999622,лук
-18.397589,37.886814,предел
17.198606,53.810024,рана
-51.900246,-28.237751,тусклый
-43.605812,-36.184147,крыло
-12.423957,44.003437,предание
38.54326,-18.945375,ох
-25.698795,-5.8059173,око
19.07271,3.94018,наслать
-26.633863,38.43823,морий
57.49053,13.768542,николь
22.796955,-35.48905,мешок
-22.640863,55.44812,нуменора
-22.623413,-14.180362,тролль
-28.84122,46.26219,племя
-54.74322,-29.099405,облако
-42.931427,6.9897704,луг
-31.683887,-49.179283,громкий
-31.72359,55.30128,хурина
-26.846655,-25.034052,мягкий
4.04038,-35.058655,опустить
-8.343019,-12.220448,открыться
31.464289,-6.380331,спрашивать
-2.394649,-26.47937,оглядеться
24.026255,9.907684,бывало
31.898163,-36.772373,уснуть
28.61196,19.822386,о
43.507545,21.897867,вполне
-50.623436,-21.681623,ярко
21.961918,-0.5195211,понятно
35.947636,-10.807204,мол
37.423058,-10.556963,ежели
-18.646635,57.292706,властитель
26.158476,2.399445,обычно
-46.740234,-36.556004,вспыхнуть
